=== Uniform Weight Distribution Mode ===

--- Execution Info ---
Total Participants: 16
Total Threshold(Weight): 20
Maximum Weight: 4

Signing Participants:
Participant 0 (Weight: 1)
Participant 1 (Weight: 2)
Participant 2 (Weight: 3)
Participant 3 (Weight: 4)
Participant 4 (Weight: 1)
Participant 5 (Weight: 2)
Participant 6 (Weight: 3)
Participant 7 (Weight: 4)
Signing Participants Total Weight: 20

# REG-ADAPT benchmark
# args_N=40 args_threshold=20 setup_ns=160072958 repeats=30 target=0 cert=both local=true stale_ttl=2 sequence=false audit_exact=false audit_point_offset=0
# ADAPT-style sequence demo under REG metadata guard
# demo_step=1 op=TIncrease delta=50 accepted=true old_t=100 new_t=150 final_exposure=99 transient_exposure=99 reason="accepted"
# demo_step=2 op=WIncrease delta=50 accepted=true old_t=150 new_t=150 final_exposure=149 transient_exposure=149 reason="accepted"
# demo_step=3 op=TDecrease delta=50 accepted=false old_t=150 new_t=100 final_exposure=199 transient_exposure=249 reason="final exposure reaches threshold"
# exact-rank tightness demo threshold=2 conservative_final=2 exact_final=1 conservative_rejects=true exact_accepts=true
op,target,delta,accepted,reason,old_epoch,new_epoch,old_t,new_t,old_exposure,final_exposure,transient_exposure,live_rows,stale_rows,public_rows,cert_weight,cert_verified,exact_final_rank,exact_transient_rank,metadata_guard_ns,cert_online_ns,cert_full_ns,local_compute_ns,local_verify_ns,local_update_ns,local_total_ns,total_ns,exact_rank_audit_ns
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,16250,10870375,11191125,5384875,7746166,22625,23364583,45443042,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,14292,12356042,12417916,4858708,4259791,220125,21068125,45857208,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,14667,11034166,11686584,7063792,25249250,0,42449583,65186417,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,14834,10996250,10921000,5285209,7051208,21625,22835334,44768333,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,15291,10901750,10914334,5784250,7699292,20083,23623667,45456292,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,14833,13040750,58697416,8261750,10354875,570042,39662791,111418542,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,19750,17189584,12204584,7296958,29491416,0,48561084,77976833,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,18292,12466417,12400375,5561917,8180417,36375,25651167,50539375,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,18042,12368041,12276583,6377666,8093375,31542,26686625,51351500,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,17958,12607917,12279750,5425667,5078000,278417,22608583,47516583,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,17791,12712375,12608917,7327083,29399666,0,48710000,74051084,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,19041,12457750,13136042,5787417,7210958,48375,24699459,50313833,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,18250,13344584,12463250,5933958,7686375,30125,25655458,51484583,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,17542,12704500,12480000,5842834,4391875,258042,22238417,47441875,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,17417,11299125,12282000,7353000,26101959,0,43730167,67330209,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,15208,11048334,10850083,5243333,7289208,19625,22709167,44624709,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,18709,11726542,11588750,5531667,8217333,23875,25349208,48684667,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,19292,12167208,12793000,4737875,4468125,233708,20938750,45919708,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,15500,10980167,11486000,7411542,25956167,0,43746375,66230292,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,18417,11137666,11338042,6048625,7209667,18292,23544708,46041291,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,15541,11898916,11388166,6036541,8101375,25834,24337583,47641708,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,18708,12991875,12683000,5386125,4219541,256416,21008042,46702959,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,15500,11084042,11483583,7344458,25656125,0,45247792,67833083,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,15667,11255916,11045083,5023792,8826541,18209,24251083,46569542,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,15541,11327042,11955792,5425959,7775375,22166,24396125,47696625,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,17000,12263792,12126541,4984417,4249042,244833,20374250,44783625,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,14792,12092167,12605583,7082292,25160375,0,42347125,67060792,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,15542,12359709,11970292,6219958,7731792,19208,24263750,48611334,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,18458,12807542,13833917,6132291,10704125,43708,28817334,55479708,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,17625,12582375,14050000,6529708,5604625,278334,24248167,50899833,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,21625,14133625,12176791,7045416,25241500,0,44106291,70439875,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,15250,10979000,11486500,5152834,7232708,22667,22469500,44951167,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,16625,10921625,10957500,5193791,7899625,19500,23399084,45295875,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,15042,11880750,12117375,6437166,4230875,220584,21281792,45295833,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,15417,11432042,11655125,7440959,25204041,0,43642125,66746834,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,15083,11860417,11188375,5239666,6711166,20041,22015375,45081291,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,15500,11396375,10838542,5535625,8809916,24958,24570833,46822542,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,15292,11757792,13237250,5446750,4256250,267500,21850625,46862416,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,42541,12277208,12268041,7575167,25376417,0,44103542,68692667,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,15334,10722500,11905208,5307292,7358959,17083,22741250,45385750,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,15625,10923417,11208792,5802417,7482584,22584,23314625,45463958,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,14542,12454042,12561208,5228667,4306375,629042,21730667,46763166,0
