op,target,delta,accepted,reason,old_epoch,new_epoch,old_t,new_t,old_exposure,final_exposure,transient_exposure,live_rows,stale_rows,public_rows,cert_weight,cert_verified,exact_final_rank,exact_transient_rank,metadata_guard_ns,cert_online_ns,cert_full_ns,local_compute_ns,local_verify_ns,local_update_ns,local_total_ns,total_ns,exact_rank_audit_ns
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,16375,0,54272084,36152708,120455958,0,227932500,282221834,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,16667,0,52845583,50373917,43130458,60459,164613208,217477083,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,21584,0,53959375,25068417,45955250,71042,143894875,197877875,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,19250,0,50074500,26682334,14829833,375958,119677542,169773958,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,20917,0,55441250,29550625,115326375,0,216077166,271540917,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,16208,0,47800583,24773000,41359250,29167,133911250,181729459,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,17291,0,46182042,29820625,51590250,90958,148945584,195147209,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,18208,0,53947542,24471250,12232458,327083,105692958,159660250,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,20250,0,48403500,31303167,107110250,0,208272084,256697000,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,16042,0,49215166,24522875,49525333,59250,138828209,188060917,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,16667,0,52393042,23535375,52646125,77166,147546583,199957167,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,16417,0,51164583,24864375,13333041,363459,107853666,159036208,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,15958,0,49974959,31335333,102935083,0,198217750,248213458,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,14667,0,43063416,24598167,40774667,27625,133313792,176393333,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,16500,0,51134875,25233583,47991917,69375,141613416,192766292,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,16792,0,48380167,21217166,13325291,381375,103927000,152325416,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,16958,0,51169042,31533333,109286000,0,208878708,260066167,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,20583,0,54136250,24713333,46349625,29666,141191500,195349792,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,17000,0,49634250,26903291,45859541,69958,143912833,193565292,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,17125,0,51175959,25539750,12346334,413875,107255541,158449792,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,16666,0,54082125,37606667,116231209,0,223596083,277696209,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,16875,0,52731375,24032917,50269292,41083,143196500,195946208,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,17042,0,54079167,24450667,43044750,53583,136831584,190929792,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,16292,0,49611041,24139708,13441250,423083,111144375,160773583,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,16458,0,51869375,30620208,115999542,0,219115583,271003042,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,16958,0,49620083,23828833,46952250,47125,141000208,190638917,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,20458,0,59635250,29571000,54943833,74250,157920291,217577542,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,20959,0,57778834,23804792,13486584,412334,110636750,168438000,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,18583,0,55200500,36040791,121721042,0,227506417,282726792,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,16708,0,46860750,25864209,90440208,99750,185126166,232005875,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,21500,0,72959333,23789125,51510042,72666,148966375,221949750,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,20041,0,66584208,25362208,14037750,828625,117572167,184178209,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,17000,0,53728625,27276125,116139333,0,215766000,269512667,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,17167,0,49548750,24642667,52687083,40459,146714167,196281084,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,19250,0,58581209,24938792,49348542,100333,146717750,205320167,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,18916,0,53436000,22433208,13798542,382000,106214291,159671542,0
