=== Uniform Weight Distribution Mode ===

--- Execution Info ---
Total Participants: 16
Total Threshold(Weight): 20
Maximum Weight: 4

Signing Participants:
Participant 0 (Weight: 1)
Participant 1 (Weight: 2)
Participant 2 (Weight: 3)
Participant 3 (Weight: 4)
Participant 4 (Weight: 1)
Participant 5 (Weight: 2)
Participant 6 (Weight: 3)
Participant 7 (Weight: 4)
Signing Participants Total Weight: 20

# REG-ADAPT benchmark
# args_N=40 args_threshold=20 setup_ns=155177500 repeats=30 target=0 cert=online local=true stale_ttl=2 sequence=false audit_exact=false audit_point_offset=0
# ADAPT-style sequence demo under REG metadata guard
# demo_step=1 op=TIncrease delta=50 accepted=true old_t=100 new_t=150 final_exposure=99 transient_exposure=99 reason="accepted"
# demo_step=2 op=WIncrease delta=50 accepted=true old_t=150 new_t=150 final_exposure=149 transient_exposure=149 reason="accepted"
# demo_step=3 op=TDecrease delta=50 accepted=false old_t=150 new_t=100 final_exposure=199 transient_exposure=249 reason="final exposure reaches threshold"
# exact-rank tightness demo threshold=2 conservative_final=2 exact_final=1 conservative_rejects=true exact_accepts=true
op,target,delta,accepted,reason,old_epoch,new_epoch,old_t,new_t,old_exposure,final_exposure,transient_exposure,live_rows,stale_rows,public_rows,cert_weight,cert_verified,exact_final_rank,exact_transient_rank,metadata_guard_ns,cert_online_ns,cert_full_ns,local_compute_ns,local_verify_ns,local_update_ns,local_total_ns,total_ns,exact_rank_audit_ns
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,20708,12829375,0,7076542,8486167,41959,27270041,40121959,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,18500,13969833,0,5945666,4921417,258541,23220792,37210375,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,18334,13792916,0,9220417,31140584,0,52284792,66098417,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,18084,14580917,0,7780958,8238208,23750,28139292,42740041,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,18125,15734166,0,6248250,10329459,25417,28637458,44391250,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,18542,11823208,0,5270125,5267792,269500,22617708,34460708,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,21416,11831166,0,8003416,29185833,0,49048541,60901750,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,17541,11878000,0,5373750,7453958,17333,24562292,36459166,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,18542,11745500,0,8684209,8529917,25750,29004750,40769791,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,17167,11971208,0,5943709,4897917,245000,22595125,34583875,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,17000,12556333,0,7461875,29262542,0,48436334,61010958,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,18125,11872541,0,5512333,8499667,24083,25879375,37771375,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,19792,12159125,0,6477792,7833958,24958,25928833,38108459,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,17166,11738250,0,5172250,4894041,258250,22225375,33981625,0
